data,book,book,book,movie,movie,movie,business,business,business
metrics,rmse,recall,ndcg_10,rmse,recall,ndcg_10,rmse,recall,ndcg_10
UCF-s,0.7564811612601006,,,1.0172563467219868,,,1.1039408212835053,,
UCF-p,0.7739025387771253,,,1.0120298826673264,,,1.1652121494810417,,
ICF-s,0.7562839777895028,,,1.0171996757236548,,,1.1048697262119949,,
ICF-p,0.7735842952593969,,,1.0110493167808736,,,1.165001981832352,,
MF,0.7195402649354384,,0.9529610386127947,0.9534203089643511,,0.8523382564218218,1.1082429242156786,,0.8573676105402801
FM,0.7031841360404139,,0.9786314525810323,0.9461189198090391,,0.9739130434782608,1.0334972811137795,,0.9583831461421756
IPNN,0.7630446736162781,,0.955981646740384,1.1257715623148956,,0.8057275694959177,1.2039563606524462,,0.6900055755494663
OPNN,0.7596840523834419,,0.9086043659855502,1.0723128454116133,,0.8720328577554367,1.1574377340755466,,0.6931863176129511
PNN,0.7518341524053948,,0.890112061447711,1.1457441626815474,,0.8565556279143822,1.1446729801067166,,0.8155275561272879
CCPM,0.7424491460611815,,0.9575230611920952,1.053634406962656,,0.8786725315538787,1.0781101968351026,,0.9270941928110307
WDL,0.7093089364684898,,0.877498834095749,1.0492728323684728,,0.7685889718924505,1.0570848609478811,,0.9005994237673797
DCN,0.7302810220618285,,0.8096409882705704,1.0530302980259754,,0.8158027760348994,1.0804563918023302,,0.8434689941950634
NFM,0.7568314381827344,,0.9512699685234797,1.0942265873231904,,0.8824248307569338,1.293179055678124,,0.6701014069498317
DeepFM,0.7524432051769194,,0.8823065199126064,1.0744275480292602,,0.8020959861270232,1.147186490819429,,0.7336162047834573
AFM,0.7353113174115252,,0.8759769970785335,1.0710224032118236,,0.972227511225289,1.083461280218211,,0.9583412668379336
DIN,,,,0.2524024045889478,,1.0000000000000002,,,
